"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"authors","1.0","authors-{goodreads_10814+recommendation_178732+recommendation_94526}","goodreads_10814+recommendation_178732+recommendation_94526","{[de.unimannheim.wdi.model.Author@fc456bef]|[de.unimannheim.wdi.model.Author@fc456bef]|[de.unimannheim.wdi.model.Author@fc456bef]}","[de.unimannheim.wdi.model.Author@fc456bef]",,
"title","1.0","title-{goodreads_1523+recommendation_145636+recommendation_253500+recommendation_77250}","goodreads_1523+recommendation_145636+recommendation_253500+recommendation_77250","{Tales of the City|Tales of the City|Tales of the City|Tales of the City}","Tales of the City",,
"title","1.0","title-{goodreads_3994+goodreads_40376+recommendation_192077+recommendation_93347}","goodreads_3994+goodreads_40376+recommendation_192077+recommendation_93347","{Crash|Crash|Crash|Crash}","Crash",,
"title","1.0","title-{goodreads_1120+goodreads_34586+recommendation_10738+recommendation_194890+recommendation_225519+recommendation_225643+recommendation_33730}","goodreads_1120+goodreads_34586+recommendation_10738+recommendation_194890+recommendation_225519+recommendation_225643+recommendation_33730","{Anne of the Island|Anne of the Island|Anne of the Island|Anne of the Island|Anne of the Island|Anne of the Island|Anne of the Island}","Anne of the Island",,
"authors","0.8333333333333334","authors-{goodreads_4672+kindle_48084+recommendation_106917+recommendation_124776+recommendation_67103+recommendation_82696}","goodreads_4672+kindle_48084+recommendation_106917+recommendation_124776+recommendation_67103+recommendation_82696","{[de.unimannheim.wdi.model.Author@be686d6a]|[de.unimannheim.wdi.model.Author@be686d6a]|[de.unimannheim.wdi.model.Author@d258615e]|[de.unimannheim.wdi.model.Author@be686d6a]|[de.unimannheim.wdi.model.Author@be686d6a]|[de.unimannheim.wdi.model.Author@be686d6a]}","[de.unimannheim.wdi.model.Author@be686d6a, de.unimannheim.wdi.model.Author@d258615e]",,
"authors","1.0","authors-{goodreads_1768+recommendation_9398}","goodreads_1768+recommendation_9398","{[de.unimannheim.wdi.model.Author@2ad22dde]|[de.unimannheim.wdi.model.Author@2ad22dde]}","[de.unimannheim.wdi.model.Author@2ad22dde]",,
"title","1.0","title-{goodreads_7304+recommendation_167047}","goodreads_7304+recommendation_167047","{Rhapsody: Child of Blood|Rhapsody: Child of Blood}","Rhapsody: Child of Blood",,
"title","1.0","title-{goodreads_15498+goodreads_15649+goodreads_21840+goodreads_22038+goodreads_24099+goodreads_26377+goodreads_28538+goodreads_31412+goodreads_46615+goodreads_481+goodreads_48727+kindle_48027+recommendation_10464+recommendation_108113+recommendation_122988+recommendation_136526+recommendation_186720+recommendation_207353+recommendation_47927+recommendation_85697+recommendation_91351}","goodreads_15498+goodreads_15649+goodreads_21840+goodreads_22038+goodreads_24099+goodreads_26377+goodreads_28538+goodreads_31412+goodreads_46615+goodreads_481+goodreads_48727+kindle_48027+recommendation_10464+recommendation_108113+recommendation_122988+recommendation_136526+recommendation_186720+recommendation_207353+recommendation_47927+recommendation_85697+recommendation_91351","{Hamlet|Hamlet|Hamlet|Hamlet|Hamlet|Hamlet|Hamlet|Hamlet|Hamlet|Hamlet|Hamlet|Hamlet|Hamlet|Hamlet|Hamlet|Hamlet|Hamlet|Hamlet|Hamlet|Hamlet|Hamlet}","Hamlet",,
"title","1.0","title-{goodreads_10814+recommendation_178732+recommendation_94526}","goodreads_10814+recommendation_178732+recommendation_94526","{To Kill a Mockingbird|To Kill a Mockingbird|To Kill a Mockingbird}","To Kill a Mockingbird",,
"publisher","0.0","publisher-{recommendation_229794+recommendation_4161+recommendation_8800}","recommendation_229794+recommendation_4161+recommendation_8800","{Laurel Leaf|Random House Childrens Pub|Bantam Books for Young Readers}","Bantam Books for Young Readers",,
"publisher","1.0","publisher-{recommendation_197237}","recommendation_197237","{Buccaneer Books Inc}","Buccaneer Books Inc",,
"authors","1.0","authors-{goodreads_218+goodreads_28516+goodreads_46106+goodreads_8178+recommendation_185003+recommendation_45576}","goodreads_218+goodreads_28516+goodreads_46106+goodreads_8178+recommendation_185003+recommendation_45576","{[de.unimannheim.wdi.model.Author@a937cf6c]|[de.unimannheim.wdi.model.Author@a937cf6c]|[de.unimannheim.wdi.model.Author@a937cf6c]|[de.unimannheim.wdi.model.Author@a937cf6c]|[de.unimannheim.wdi.model.Author@a937cf6c]|[de.unimannheim.wdi.model.Author@a937cf6c]}","[de.unimannheim.wdi.model.Author@a937cf6c]",,
"title","1.0","title-{goodreads_21535+recommendation_5474}","goodreads_21535+recommendation_5474","{To Kill a Mockingbird|To Kill a Mockingbird}","To Kill a Mockingbird",,
"title","1.0","title-{goodreads_33856+recommendation_159876+recommendation_59130}","goodreads_33856+recommendation_159876+recommendation_59130","{Leaving Cheyenne|Leaving Cheyenne|Leaving Cheyenne}","Leaving Cheyenne",,
"authors","0.0","authors-{goodreads_19805+recommendation_4575}","goodreads_19805+recommendation_4575","{[de.unimannheim.wdi.model.Author@a51980d8]|[de.unimannheim.wdi.model.Author@c3d9cedc]}","[de.unimannheim.wdi.model.Author@a51980d8, de.unimannheim.wdi.model.Author@c3d9cedc]",,
"publisher","1.0","publisher-{recommendation_5474}","recommendation_5474","{Perennial Classics}","Perennial Classics",,
"title","1.0","title-{goodreads_11971+recommendation_10091}","goodreads_11971+recommendation_10091","{Click, Clack, Moo: Cows That Type|Click, Clack, Moo: Cows That Type}","Click, Clack, Moo: Cows That Type",,
"publisher","0.0","publisher-{recommendation_135716+recommendation_189427}","recommendation_135716+recommendation_189427","{Dell Publishing Company|Sagebrush Bound}","Dell Publishing Company",,
"title","1.0","title-{goodreads_7898+recommendation_4974}","goodreads_7898+recommendation_4974","{Blue Angel|Blue Angel}","Blue Angel",,
"publisher","0.0","publisher-{recommendation_108437+recommendation_240539}","recommendation_108437+recommendation_240539","{Doubleday Books|Anchor Books/Doubleday}","Anchor Books/Doubleday",,
"publisher","0.0","publisher-{recommendation_91327+recommendation_93559}","recommendation_91327+recommendation_93559","{Bloomsbury Publishing Plc|Mariner Books}","Bloomsbury Publishing Plc",,
"authors","1.0","authors-{goodreads_31438+goodreads_60+recommendation_106706+recommendation_146172+recommendation_7093+recommendation_97488}","goodreads_31438+goodreads_60+recommendation_106706+recommendation_146172+recommendation_7093+recommendation_97488","{[de.unimannheim.wdi.model.Author@af5ab7db]|[de.unimannheim.wdi.model.Author@af5ab7db]|[de.unimannheim.wdi.model.Author@af5ab7db]|[de.unimannheim.wdi.model.Author@af5ab7db]|[de.unimannheim.wdi.model.Author@af5ab7db]|[de.unimannheim.wdi.model.Author@af5ab7db]}","[de.unimannheim.wdi.model.Author@af5ab7db]",,
"publisher","0.0","publisher-{kindle_47855+recommendation_1066+recommendation_10740+recommendation_125090+recommendation_20656+recommendation_23135+recommendation_57415+recommendation_6619}","kindle_47855+recommendation_1066+recommendation_10740+recommendation_125090+recommendation_20656+recommendation_23135+recommendation_57415+recommendation_6619","{Waxkeep Publishing|Pages Publishing Group|HarperCollins|Signet Classics|David R. Godine Publisher|HarperTrophy|Hodder Children's Books|Bantam}","David R. Godine Publisher",,
"authors","1.0","authors-{goodreads_51811+recommendation_22871+recommendation_76361}","goodreads_51811+recommendation_22871+recommendation_76361","{[de.unimannheim.wdi.model.Author@985dcd86]|[de.unimannheim.wdi.model.Author@985dcd86]|[de.unimannheim.wdi.model.Author@985dcd86]}","[de.unimannheim.wdi.model.Author@985dcd86]",,
"authors","1.0","authors-{goodreads_9361+recommendation_7007}","goodreads_9361+recommendation_7007","{[de.unimannheim.wdi.model.Author@6ff1837]|[de.unimannheim.wdi.model.Author@6ff1837]}","[de.unimannheim.wdi.model.Author@6ff1837]",,
"authors","0.5454545454545454","authors-{goodreads_24044+goodreads_307+goodreads_52076+kindle_48108+recommendation_104564+recommendation_121628+recommendation_134567+recommendation_206978+recommendation_211764+recommendation_235014+recommendation_2652}","goodreads_24044+goodreads_307+goodreads_52076+kindle_48108+recommendation_104564+recommendation_121628+recommendation_134567+recommendation_206978+recommendation_211764+recommendation_235014+recommendation_2652","{[de.unimannheim.wdi.model.Author@e55a77b1]|[de.unimannheim.wdi.model.Author@e55a77b1]|[de.unimannheim.wdi.model.Author@e55a77b1]|[de.unimannheim.wdi.model.Author@e55a77b1]|[de.unimannheim.wdi.model.Author@da792ec5]|[de.unimannheim.wdi.model.Author@da792ec5]|[de.unimannheim.wdi.model.Author@da792ec5]|[de.unimannheim.wdi.model.Author@da792ec5]|[de.unimannheim.wdi.model.Author@4f98964]|[de.unimannheim.wdi.model.Author@da792ec5]|[de.unimannheim.wdi.model.Author@da792ec5]}","[de.unimannheim.wdi.model.Author@e55a77b1, de.unimannheim.wdi.model.Author@da792ec5, de.unimannheim.wdi.model.Author@4f98964]",,
"title","1.0","title-{goodreads_41587+kindle_28027+recommendation_10329+recommendation_60758+recommendation_81785}","goodreads_41587+kindle_28027+recommendation_10329+recommendation_60758+recommendation_81785","{Brian's Winter|Brian's Winter|Brian's Winter|Brian's Winter|Brian's Winter}","Brian's Winter","true","Brian's Winter"
"title","1.0","title-{goodreads_19269+goodreads_19524+goodreads_28121+goodreads_29735+goodreads_41+recommendation_115103+recommendation_226717+recommendation_42953+recommendation_4478+recommendation_78582+recommendation_90605+recommendation_91}","goodreads_19269+goodreads_19524+goodreads_28121+goodreads_29735+goodreads_41+recommendation_115103+recommendation_226717+recommendation_42953+recommendation_4478+recommendation_78582+recommendation_90605+recommendation_91","{The Catcher in the Rye|The Catcher in the Rye|The Catcher in the Rye|The Catcher in the Rye|The Catcher in the Rye|The Catcher in the Rye|The Catcher in the Rye|The Catcher in the Rye|The Catcher in the Rye|The Catcher in the Rye|The Catcher in the Rye|The Catcher in the Rye}","The Catcher in the Rye",,
"title","1.0","title-{goodreads_37007+recommendation_43775}","goodreads_37007+recommendation_43775","{Atticus|Atticus}","Atticus",,
"title","1.0","title-{goodreads_1448+recommendation_49832}","goodreads_1448+recommendation_49832","{Abhorsen|Abhorsen}","Abhorsen",,
"authors","0.8333333333333334","authors-{goodreads_2219+recommendation_129719+recommendation_14206+recommendation_170106+recommendation_241241+recommendation_411+recommendation_52327+recommendation_72939+recommendation_79158+recommendation_87345+recommendation_878+recommendation_89347}","goodreads_2219+recommendation_129719+recommendation_14206+recommendation_170106+recommendation_241241+recommendation_411+recommendation_52327+recommendation_72939+recommendation_79158+recommendation_87345+recommendation_878+recommendation_89347","{[de.unimannheim.wdi.model.Author@b915d19e]|[de.unimannheim.wdi.model.Author@70e1b486]|[de.unimannheim.wdi.model.Author@eaddfc9e]|[de.unimannheim.wdi.model.Author@eaddfc9e]|[de.unimannheim.wdi.model.Author@eaddfc9e]|[de.unimannheim.wdi.model.Author@eaddfc9e]|[de.unimannheim.wdi.model.Author@eaddfc9e]|[de.unimannheim.wdi.model.Author@eaddfc9e]|[de.unimannheim.wdi.model.Author@eaddfc9e]|[de.unimannheim.wdi.model.Author@eaddfc9e]|[de.unimannheim.wdi.model.Author@eaddfc9e]|[de.unimannheim.wdi.model.Author@eaddfc9e]}","[de.unimannheim.wdi.model.Author@eaddfc9e, de.unimannheim.wdi.model.Author@70e1b486, de.unimannheim.wdi.model.Author@b915d19e]",,
"publisher","0.0","publisher-{recommendation_64507+recommendation_84683}","recommendation_64507+recommendation_84683","{Farrar Straus &amp; Giroux|Anchor}","Farrar Straus &amp; Giroux",,
"title","1.0","title-{goodreads_7109+recommendation_251884+recommendation_28283+recommendation_86629}","goodreads_7109+recommendation_251884+recommendation_28283+recommendation_86629","{Strangers on a Train|Strangers on a Train|Strangers on a Train|Strangers on a Train}","Strangers on a Train",,
"publisher","0.0","publisher-{recommendation_221348+recommendation_722+recommendation_80929}","recommendation_221348+recommendation_722+recommendation_80929","{Ballantine Books|Fawcett Books|Random House Inc}","Ballantine Books",,
"authors","1.0","authors-{goodreads_21486+goodreads_21918+goodreads_22280+goodreads_24304+goodreads_31244+goodreads_32305+goodreads_44664+recommendation_100681+recommendation_2105+recommendation_269339+recommendation_55602+recommendation_8227}","goodreads_21486+goodreads_21918+goodreads_22280+goodreads_24304+goodreads_31244+goodreads_32305+goodreads_44664+recommendation_100681+recommendation_2105+recommendation_269339+recommendation_55602+recommendation_8227","{[de.unimannheim.wdi.model.Author@54bea4b1]|[de.unimannheim.wdi.model.Author@54bea4b1]|[de.unimannheim.wdi.model.Author@54bea4b1]|[de.unimannheim.wdi.model.Author@54bea4b1]|[de.unimannheim.wdi.model.Author@54bea4b1]|[de.unimannheim.wdi.model.Author@54bea4b1]|[de.unimannheim.wdi.model.Author@54bea4b1]|[de.unimannheim.wdi.model.Author@54bea4b1]|[de.unimannheim.wdi.model.Author@54bea4b1]|[de.unimannheim.wdi.model.Author@54bea4b1]|[de.unimannheim.wdi.model.Author@54bea4b1]|[de.unimannheim.wdi.model.Author@54bea4b1]}","[de.unimannheim.wdi.model.Author@54bea4b1]",,
"title","1.0","title-{goodreads_29056+recommendation_115300+recommendation_27448}","goodreads_29056+recommendation_115300+recommendation_27448","{The Cold One|The Cold One|The Cold One}","The Cold One",,
"publisher","1.0","publisher-{recommendation_141253}","recommendation_141253","{Loyal}","Loyal",,
"title","1.0","title-{goodreads_26345+goodreads_49901+recommendation_175979}","goodreads_26345+goodreads_49901+recommendation_175979","{Peter Pan|Peter Pan|Peter Pan}","Peter Pan",,
"title","1.0","title-{goodreads_40376+recommendation_93347}","goodreads_40376+recommendation_93347","{Crash|Crash}","Crash",,
"publisher","0.75","publisher-{recommendation_126963+recommendation_30456+recommendation_65088+recommendation_86824}","recommendation_126963+recommendation_30456+recommendation_65088+recommendation_86824","{Pocket|Pocket|Avon Books|Pocket}","Avon Books",,
"authors","1.0","authors-{goodreads_3027+recommendation_30547+recommendation_58037+recommendation_64765}","goodreads_3027+recommendation_30547+recommendation_58037+recommendation_64765","{[de.unimannheim.wdi.model.Author@49e6e9f7]|[de.unimannheim.wdi.model.Author@49e6e9f7]|[de.unimannheim.wdi.model.Author@49e6e9f7]|[de.unimannheim.wdi.model.Author@49e6e9f7]}","[de.unimannheim.wdi.model.Author@49e6e9f7]",,
"title","1.0","title-{goodreads_23969+recommendation_11629+recommendation_42330}","goodreads_23969+recommendation_11629+recommendation_42330","{White Horses|White Horses|White Horses}","White Horses",,
"title","1.0","title-{goodreads_13630+recommendation_79024}","goodreads_13630+recommendation_79024","{La Peste|La Peste}","La Peste",,
"publisher","1.0","publisher-{recommendation_49832}","recommendation_49832","{Eos}","Eos",,
"authors","1.0","authors-{goodreads_42150+recommendation_43029}","goodreads_42150+recommendation_43029","{[de.unimannheim.wdi.model.Author@7967b305]|[de.unimannheim.wdi.model.Author@7967b305]}","[de.unimannheim.wdi.model.Author@7967b305]",,
"authors","1.0","authors-{goodreads_30094+recommendation_101189+recommendation_55226}","goodreads_30094+recommendation_101189+recommendation_55226","{[de.unimannheim.wdi.model.Author@804ba598]|[de.unimannheim.wdi.model.Author@804ba598]|[de.unimannheim.wdi.model.Author@804ba598]}","[de.unimannheim.wdi.model.Author@804ba598]",,
"title","1.0","title-{goodreads_51435+recommendation_106275+recommendation_146378+recommendation_94611}","goodreads_51435+recommendation_106275+recommendation_146378+recommendation_94611","{Celebrity|Celebrity|Celebrity|Celebrity}","Celebrity",,
"title","1.0","title-{goodreads_45233+goodreads_7047+recommendation_170363}","goodreads_45233+goodreads_7047+recommendation_170363","{The Fire Next Time|The Fire Next Time|The Fire Next Time}","The Fire Next Time",,
"authors","1.0","authors-{goodreads_223+goodreads_24390+goodreads_44990+goodreads_50792+recommendation_2570+recommendation_63323}","goodreads_223+goodreads_24390+goodreads_44990+goodreads_50792+recommendation_2570+recommendation_63323","{[de.unimannheim.wdi.model.Author@985dcd86]|[de.unimannheim.wdi.model.Author@985dcd86]|[de.unimannheim.wdi.model.Author@985dcd86]|[de.unimannheim.wdi.model.Author@985dcd86]|[de.unimannheim.wdi.model.Author@985dcd86]|[de.unimannheim.wdi.model.Author@985dcd86]}","[de.unimannheim.wdi.model.Author@985dcd86]",,
"publisher","0.0","publisher-{recommendation_142326+recommendation_38232+recommendation_72818+recommendation_89083}","recommendation_142326+recommendation_38232+recommendation_72818+recommendation_89083","{Knopf|Kiepenheuer &amp; Witsch GmbH &amp; Co. KG, Verlag|Vintage Books USA|Distribooks Inc}","Kiepenheuer &amp; Witsch GmbH &amp; Co. KG, Verlag",,
"publisher","0.25","publisher-{recommendation_106767+recommendation_167036+recommendation_20932+recommendation_238003+recommendation_3804+recommendation_43728+recommendation_75084+recommendation_8898}","recommendation_106767+recommendation_167036+recommendation_20932+recommendation_238003+recommendation_3804+recommendation_43728+recommendation_75084+recommendation_8898","{Jai Lu French|Signet Book|Viking Books|Viking Books|New Amer Library|Signet Book|Penguin Putnam~mass|Penguin Putnam~mass}","Penguin Putnam~mass",,
"publisher","0.0","publisher-{kindle_24994+recommendation_105422+recommendation_133726+recommendation_185568+recommendation_202395+recommendation_26233+recommendation_269547+recommendation_61686+recommendation_9455}","kindle_24994+recommendation_105422+recommendation_133726+recommendation_185568+recommendation_202395+recommendation_26233+recommendation_269547+recommendation_61686+recommendation_9455","{Waxkeep Publishing|New Amer Library Classics|Plaza &amp; Janes Editores, S.A.|Tor Books|Barnes &amp; Nobel|Signet Classics|Norma|Barnes &amp; Noble Books-Imports|Bantam Books}","Barnes &amp; Noble Books-Imports",,
"authors","0.6","authors-{goodreads_41587+kindle_28027+recommendation_10329+recommendation_60758+recommendation_81785}","goodreads_41587+kindle_28027+recommendation_10329+recommendation_60758+recommendation_81785","{[de.unimannheim.wdi.model.Author@9a3b36b4]|[de.unimannheim.wdi.model.Author@9a3b36b4]|[de.unimannheim.wdi.model.Author@b37bce94]|[de.unimannheim.wdi.model.Author@b37bce94]|[de.unimannheim.wdi.model.Author@9a3b36b4]}","[de.unimannheim.wdi.model.Author@9a3b36b4, de.unimannheim.wdi.model.Author@b37bce94]","false","[de.unimannheim.wdi.model.Author@9a3b36b4]"
"title","1.0","title-{goodreads_32380+goodreads_33701+recommendation_153702+recommendation_62812}","goodreads_32380+goodreads_33701+recommendation_153702+recommendation_62812","{Neverwhere|Neverwhere|Neverwhere|Neverwhere}","Neverwhere",,
"authors","1.0","authors-{goodreads_2058+recommendation_13232}","goodreads_2058+recommendation_13232","{[de.unimannheim.wdi.model.Author@26a06356]|[de.unimannheim.wdi.model.Author@26a06356]}","[de.unimannheim.wdi.model.Author@26a06356]",,
"title","1.0","title-{goodreads_494+kindle_47906+recommendation_10287+recommendation_159140+recommendation_87904}","goodreads_494+kindle_47906+recommendation_10287+recommendation_159140+recommendation_87904","{Johnny Got His Gun|Johnny Got His Gun|Johnny Got His Gun|Johnny Got His Gun|Johnny Got His Gun}","Johnny Got His Gun",,
"publisher","1.0","publisher-{recommendation_142437}","recommendation_142437","{Topaz}","Topaz",,
"authors","0.5714285714285714","authors-{goodreads_18954+goodreads_19348+goodreads_222+recommendation_1432+recommendation_38147+recommendation_49095+recommendation_96852}","goodreads_18954+goodreads_19348+goodreads_222+recommendation_1432+recommendation_38147+recommendation_49095+recommendation_96852","{[de.unimannheim.wdi.model.Author@5cb7d793]|[de.unimannheim.wdi.model.Author@5cb7d793]|[de.unimannheim.wdi.model.Author@5cb7d793]|[de.unimannheim.wdi.model.Author@244acb93]|[de.unimannheim.wdi.model.Author@f8dbdfdb]|[de.unimannheim.wdi.model.Author@f8dbdfdb]|[de.unimannheim.wdi.model.Author@5cb7d793]}","[de.unimannheim.wdi.model.Author@f8dbdfdb, de.unimannheim.wdi.model.Author@5cb7d793, de.unimannheim.wdi.model.Author@244acb93]",,
"publisher","1.0","publisher-{recommendation_4935+recommendation_8947}","recommendation_4935+recommendation_8947","{Dell|Dell}","Dell",,
"publisher","0.0","publisher-{kindle_32757+recommendation_29943}","kindle_32757+recommendation_29943","{HarperCollins e-books|Avon}","HarperCollins e-books",,
"publisher","0.0","publisher-{recommendation_160968+recommendation_17537}","recommendation_160968+recommendation_17537","{Harper Collins Publishers|Ivy Books}","Harper Collins Publishers",,
"publisher","1.0","publisher-{recommendation_184788}","recommendation_184788","{Alfred A. Knopf}","Alfred A. Knopf",,
"title","1.0","title-{goodreads_39134+recommendation_3324+recommendation_58232}","goodreads_39134+recommendation_3324+recommendation_58232","{Jane Eyre|Jane Eyre|Jane Eyre}","Jane Eyre",,
"publisher","0.0","publisher-{recommendation_234321+recommendation_77359}","recommendation_234321+recommendation_77359","{Continuum International Publishing Group|Seabury Press}","Continuum International Publishing Group",,
"publisher","0.6","publisher-{recommendation_119061+recommendation_138764+recommendation_194097+recommendation_1951+recommendation_3769}","recommendation_119061+recommendation_138764+recommendation_194097+recommendation_1951+recommendation_3769","{Aladdin|Bantam Books|Bantam Books|Bantam Books|Bantam Doubleday Dell}","Bantam Doubleday Dell",,
"publisher","1.0","publisher-{recommendation_3916}","recommendation_3916","{Sagebrush Bound}","Sagebrush Bound",,
"title","1.0","title-{goodreads_7191+recommendation_158349+recommendation_1775}","goodreads_7191+recommendation_158349+recommendation_1775","{Atlantis Found|Atlantis Found|Atlantis Found}","Atlantis Found",,
"authors","1.0","authors-{goodreads_29056+recommendation_115300+recommendation_27448}","goodreads_29056+recommendation_115300+recommendation_27448","{[de.unimannheim.wdi.model.Author@7fc98cfb]|[de.unimannheim.wdi.model.Author@7fc98cfb]|[de.unimannheim.wdi.model.Author@7fc98cfb]}","[de.unimannheim.wdi.model.Author@7fc98cfb]",,
"publisher","0.25","publisher-{kindle_25188+kindle_9845+recommendation_13194+recommendation_142523+recommendation_16825+recommendation_182395+recommendation_18479+recommendation_187270+recommendation_193759+recommendation_203111+recommendation_20536+recommendation_227385+recommendation_24222+recommendation_42+recommendation_43973+recommendation_46620+recommendation_51194+recommendation_52725+recommendation_6745+recommendation_86926}","kindle_25188+kindle_9845+recommendation_13194+recommendation_142523+recommendation_16825+recommendation_182395+recommendation_18479+recommendation_187270+recommendation_193759+recommendation_203111+recommendation_20536+recommendation_227385+recommendation_24222+recommendation_42+recommendation_43973+recommendation_46620+recommendation_51194+recommendation_52725+recommendation_6745+recommendation_86926","{HarperPerennial Classics|Digireads.com|New Amer Library Classics|Signet Book|Barnes Noble Classics|Signet Book|Signet Book|Signet Book|R.S. Means Company|Addison-Wesley|Signet Book|Max Hueber Verlag|Troll Communications|Bantam|Bantam Books|Oxford University Press|Penguin Books Ltd|Tor Books|Bantam|Airmont Pub Co}","New Amer Library Classics",,
"publisher","0.0","publisher-{recommendation_199878+recommendation_251815}","recommendation_199878+recommendation_251815","{Signet Book|Bobbs-Merrill Co}","Bobbs-Merrill Co",,
"publisher","1.0","publisher-{recommendation_2609}","recommendation_2609","{Dell Publishing Company}","Dell Publishing Company",,
"title","1.0","title-{goodreads_13594+recommendation_649+recommendation_74723}","goodreads_13594+recommendation_649+recommendation_74723","{The Next Accident|The Next Accident|The Next Accident}","The Next Accident",,
"publisher","0.5","publisher-{kindle_28027+recommendation_10329+recommendation_60758+recommendation_81785}","kindle_28027+recommendation_10329+recommendation_60758+recommendation_81785","{Delacorte Books for Young Readers|Laurel Leaf|Delacorte Books for Young Readers|Doubleday Books}","Delacorte Books for Young Readers","true","Delacorte Books for Young Readers"
"publisher","1.0","publisher-{recommendation_1050}","recommendation_1050","{Owl Books}","Owl Books",,
"title","1.0","title-{goodreads_34547+goodreads_6302+recommendation_10644+recommendation_113267+recommendation_36369}","goodreads_34547+goodreads_6302+recommendation_10644+recommendation_113267+recommendation_36369","{Dune|Dune|Dune|Dune|Dune}","Dune",,
"publisher","1.0","publisher-{recommendation_295+recommendation_78951}","recommendation_295+recommendation_78951","{Egmont Childrens Books|Egmont Childrens Books}","Egmont Childrens Books",,
"title","1.0","title-{goodreads_25991+goodreads_26257+goodreads_30016+recommendation_109706}","goodreads_25991+goodreads_26257+goodreads_30016+recommendation_109706","{Ulysses|Ulysses|Ulysses|Ulysses}","Ulysses",,
"authors","0.8333333333333334","authors-{goodreads_29884+goodreads_38646+goodreads_64+recommendation_229794+recommendation_4161+recommendation_8800}","goodreads_29884+goodreads_38646+goodreads_64+recommendation_229794+recommendation_4161+recommendation_8800","{[de.unimannheim.wdi.model.Author@69400cc7]|[de.unimannheim.wdi.model.Author@69400cc7]|[de.unimannheim.wdi.model.Author@69400cc7]|[de.unimannheim.wdi.model.Author@69400cc7]|[de.unimannheim.wdi.model.Author@69400cc7]|[de.unimannheim.wdi.model.Author@47b620a7]}","[de.unimannheim.wdi.model.Author@47b620a7, de.unimannheim.wdi.model.Author@69400cc7]",,
"authors","1.0","authors-{goodreads_14087+recommendation_191577+recommendation_204414+recommendation_266452}","goodreads_14087+recommendation_191577+recommendation_204414+recommendation_266452","{[de.unimannheim.wdi.model.Author@439c67cd]|[de.unimannheim.wdi.model.Author@439c67cd]|[de.unimannheim.wdi.model.Author@439c67cd]|[de.unimannheim.wdi.model.Author@439c67cd]}","[de.unimannheim.wdi.model.Author@439c67cd]",,
"authors","1.0","authors-{goodreads_16039+kindle_9485+recommendation_13180+recommendation_178328+recommendation_1863+recommendation_27088}","goodreads_16039+kindle_9485+recommendation_13180+recommendation_178328+recommendation_1863+recommendation_27088","{[de.unimannheim.wdi.model.Author@6ff1837]|[de.unimannheim.wdi.model.Author@6ff1837]|[de.unimannheim.wdi.model.Author@6ff1837]|[de.unimannheim.wdi.model.Author@6ff1837]|[de.unimannheim.wdi.model.Author@6ff1837]|[de.unimannheim.wdi.model.Author@6ff1837]}","[de.unimannheim.wdi.model.Author@6ff1837]",,
"title","1.0","title-{goodreads_2158+recommendation_10892}","goodreads_2158+recommendation_10892","{Kiss an Angel|Kiss an Angel}","Kiss an Angel",,
"title","1.0","title-{goodreads_21900+goodreads_265+goodreads_29940+recommendation_72854}","goodreads_21900+goodreads_265+goodreads_29940+recommendation_72854","{The House of the Spirits|The House of the Spirits|The House of the Spirits|The House of the Spirits}","The House of the Spirits",,
"authors","1.0","authors-{goodreads_21718+goodreads_41909+goodreads_51876+recommendation_103888+recommendation_259819}","goodreads_21718+goodreads_41909+goodreads_51876+recommendation_103888+recommendation_259819","{[de.unimannheim.wdi.model.Author@a19a30e0]|[de.unimannheim.wdi.model.Author@a19a30e0]|[de.unimannheim.wdi.model.Author@a19a30e0]|[de.unimannheim.wdi.model.Author@a19a30e0]|[de.unimannheim.wdi.model.Author@a19a30e0]}","[de.unimannheim.wdi.model.Author@a19a30e0]",,
"publisher","0.0","publisher-{recommendation_127137+recommendation_156280+recommendation_76020}","recommendation_127137+recommendation_156280+recommendation_76020","{Random House Inc|Vintage Books USA|Penguin Putnam~mass}","Penguin Putnam~mass",,
"publisher","1.0","publisher-{recommendation_93875}","recommendation_93875","{HarperCollins}","HarperCollins",,
"publisher","1.0","publisher-{recommendation_36784}","recommendation_36784","{Nelson Books}","Nelson Books",,
"publisher","1.0","publisher-{recommendation_170363}","recommendation_170363","{Vintage Books USA}","Vintage Books USA",,
"title","1.0","title-{goodreads_21391+goodreads_40363+recommendation_107689+recommendation_142715+recommendation_267359+recommendation_91493}","goodreads_21391+goodreads_40363+recommendation_107689+recommendation_142715+recommendation_267359+recommendation_91493","{The Legend of Sleepy Hollow|The Legend of Sleepy Hollow|The Legend of Sleepy Hollow|The Legend of Sleepy Hollow|The Legend of Sleepy Hollow|The Legend of Sleepy Hollow}","The Legend of Sleepy Hollow",,
"authors","1.0","authors-{goodreads_3587+recommendation_82679}","goodreads_3587+recommendation_82679","{[de.unimannheim.wdi.model.Author@29342451]|[de.unimannheim.wdi.model.Author@29342451]}","[de.unimannheim.wdi.model.Author@29342451]",,
"title","1.0","title-{goodreads_48051+recommendation_12436+recommendation_125020}","goodreads_48051+recommendation_12436+recommendation_125020","{The Wild Swans|The Wild Swans|The Wild Swans}","The Wild Swans",,
