"Blocking Key Value","Frequency"
"Persuasion,Redemption,Frankenstein,To Kill a Mockingbird,Possession","64"
"The Awakening","63"
"The Secret Garden,Dracula","60"
"Siddhartha,Remember Me,Collected Poems","56"
"Dune","54"
"Inferno","52"
"Anne of Green Gables,Haunted","50"
"Resurrection","49"
"Misery,Rebecca,Black Beauty,Lost and Found,The Wind in the Willows,Alice's Adventures in Wonderland,Flowers for Algernon,Masquerade","48"
"Temptation,Finders Keepers,The Legacy,A Little Princess,The Prince","45"
"Mirage","44"
"Heaven,Destiny,Prey,Coming Home","42"
"Anna Karenina,Forbidden,Obsession,Treasure Island,One Hundred Years of Solitude,Forever,Adventures of Huckleberry Finn,Promises,Angel","40"
"The Secret,The Wedding","39"
"It,Outlander,Fever,Second Chance,City of Bones,Lord of the Flies,Beauty,Vanished,Mercy,Heartbreaker","36"
"And Then There Were None,A Wrinkle in Time,Reckless,The Reckoning,The Catcher in the Rye,Brave New World,War and Peace,David Copperfield,Jurassic Park","35"
"Paradise,Matilda,Cinderella,King Lear","33"
"The Stranger,Shadows,Ulysses,Burn","32"
"Eden,Betrayal,Awakening,Twisted,Hunted,Bittersweet,Shattered,The Collected Stories,On the Road,Whispers,Monster,Murder on the Orient Express,Payback,Deception,The Velveteen Rabbit","30"
"The Silmarillion,Mere Christianity,The Alchemist,Midnight,Coraline,The Trial,Legend,Oliver Twist","28"
"Moby Dick,Eclipse,Heat,A Tale of Two Cities,The Odyssey,The Hound of the Baskervilles","27"
"Robinson Crusoe,Journey","26"
"The Count of Monte Cristo,Raven,Blackout,The Storyteller,Phantom,Rapture,Crash,Revelation","25"
"Best Friends,Island,Ransom,Heartless,Remember When,Love Poems,The Picture of Dorian Gray,The Heir,Nightfall,Carrie,Second Chances,The Three Musketeers,The Handmaid's Tale,The Art of War,After Dark,Survivor,Dark Angel,Always,Lost,Fight Club,Reunion,Taken,Hannibal,Dark Places,Bloodline,The Hunted,Beauty and the Beast,Summer,The Beach House,Nineteen Eighty-Four,Collected Stories,Dreamcatcher,The Return","24"
