"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] BookTitleComparatorEqual record1Value","[0] BookTitleComparatorEqual record2Value","[0] BookTitleComparatorEqual record1PreprocessedValue","[0] BookTitleComparatorEqual record2PreprocessedValue","[0] BookTitleComparatorEqual similarity","[0] BookTitleComparatorEqual postproccesedSimilarity","[1] BookAuthorComparatorLevenshtein record1Value","[1] BookAuthorComparatorLevenshtein record2Value","[1] BookAuthorComparatorLevenshtein record1PreprocessedValue","[1] BookAuthorComparatorLevenshtein record2PreprocessedValue","[1] BookAuthorComparatorLevenshtein similarity","[1] BookAuthorComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","recommendation_53303","goodreads_33536","1.0",,"the restaurant at the end of the universe","the restaurant at the end of the universe","the restaurant at the end of the universe","the restaurant at the end of the universe","1.0","1.0","Douglas Adams","Douglas Adams","Douglas Adams","Douglas Adams","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_200448","goodreads_11713","0.5",,"the hunted","the hunted","the hunted","the hunted","1.0","1.0","Elmore Leonard","Charlie Higson","Elmore Leonard","Charlie Higson","0.0714285714285714","0.0"
"LinearCombinationMatchingRule","recommendation_8813","goodreads_401","1.0",,"the bfg","the bfg","the bfg","the bfg","1.0","1.0","Roald Dahl","Roald Dahl","Roald Dahl","Roald Dahl","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_887","goodreads_12565","0.5",,"the door to december","the door to december","the door to december","the door to december","1.0","1.0","Dean R. Koontz","Richard Paige","Dean R. Koontz","Richard Paige","0.1428571428571429","0.0"
"LinearCombinationMatchingRule","recommendation_192588","goodreads_46195","0.5",,"second chance","second chance","second chance","second chance","1.0","1.0","Joan Oppenheimer","Jane Green","Joan Oppenheimer","Jane Green","0.3125","0.0"
"LinearCombinationMatchingRule","recommendation_32041","goodreads_7371","0.5",,"the vision","the vision","the vision","the vision","1.0","1.0","Dean R. Koontz","Jessica Sorensen","Dean R. Koontz","Jessica Sorensen","0.25","0.0"
"LinearCombinationMatchingRule","recommendation_187668","goodreads_23898","1.0",,"uncle tom's cabin","uncle tom's cabin","uncle tom's cabin","uncle tom's cabin","1.0","1.0","Harriet Beecher Stowe","Harriet Beecher Stowe","Harriet Beecher Stowe","Harriet Beecher Stowe","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_180465","goodreads_37996","0.5",,"exodus","exodus","exodus","exodus","1.0","1.0","Uris","Anonymous","Uris","Anonymous","0.11111111111111116","0.0"
"LinearCombinationMatchingRule","recommendation_198737","goodreads_277","1.0",,"misery","misery","misery","misery","1.0","1.0","Stephen King","Stephen King","Stephen King","Stephen King","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_2912","goodreads_29614","1.0",,"misery","misery","misery","misery","1.0","1.0","Stephen King","Stephen King","Stephen King","Stephen King","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_216716","goodreads_43518","0.5",,"shadow","shadow","shadow","shadow","1.0","1.0","Anne Logston","Michael Morpurgo","Anne Logston","Michael Morpurgo","0.1875","0.0"
"LinearCombinationMatchingRule","recommendation_150990","goodreads_33688","0.5",,"the prisoner","the prisoner","the prisoner","the prisoner","1.0","1.0","Thomas M. Disch","Omar Shahid Hamid","Thomas M. Disch","Omar Shahid Hamid","0.23529411764705888","0.0"
"LinearCombinationMatchingRule","recommendation_25509","goodreads_28273","0.5",,"ransom","ransom","ransom","ransom","1.0","1.0","Julie Garwood","Danielle Steel","Julie Garwood","Danielle Steel","0.1428571428571429","0.0"
"LinearCombinationMatchingRule","recommendation_172961","goodreads_10166","0.5",,"enchanted","enchanted","enchanted","enchanted","1.0","1.0","Barbara Cartland","Alethea Kontis","Barbara Cartland","Alethea Kontis","0.1875","0.0"
"LinearCombinationMatchingRule","recommendation_246648","goodreads_4380","1.0",,"pay it forward","pay it forward","pay it forward","pay it forward","1.0","1.0","Catherine Ryan Hyde","Catherine Ryan Hyde","Catherine Ryan Hyde","Catherine Ryan Hyde","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_184461","goodreads_37817","1.0",,"oliver twist","oliver twist","oliver twist","oliver twist","1.0","1.0","Charles Dickens","Charles Dickens","Charles Dickens","Charles Dickens","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_223746","goodreads_1381","1.0",,"silent spring","silent spring","silent spring","silent spring","1.0","1.0","Rachael Carson","Rachel Carson","Rachael Carson","Rachel Carson","0.9285714285714286","1.0"
"LinearCombinationMatchingRule","recommendation_42471","goodreads_25913","1.0",,"a single man","a single man","a single man","a single man","1.0","1.0","Christopher Isherwood","Christopher Isherwood","Christopher Isherwood","Christopher Isherwood","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_9416","goodreads_14135","0.5",,"heaven","heaven","heaven","heaven","1.0","1.0","No Author","No Author","No Author","No Author","0.0","0.0"
"LinearCombinationMatchingRule","recommendation_131327","goodreads_11942","0.5",,"never been kissed","never been kissed","never been kissed","never been kissed","1.0","1.0","Cathy East Dubowski","C.M. Kars","Cathy East Dubowski","C.M. Kars","0.21052631578947367","0.0"
"LinearCombinationMatchingRule","recommendation_168752","goodreads_39654","0.5",,"little women","little women","little women","little women","1.0","1.0","Louisa May Alcott","Lucia Monfried","Louisa May Alcott","Lucia Monfried","0.2941176470588235","0.0"
"LinearCombinationMatchingRule","recommendation_210325","goodreads_50886","1.0",,"the whisper of the river","the whisper of the river","the whisper of the river","the whisper of the river","1.0","1.0","Ferrol Sams","Ferrol Sams","Ferrol Sams","Ferrol Sams","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_15160","goodreads_31444","1.0",,"it's always something","it's always something","it's always something","it's always something","1.0","1.0","Gilda Radner","Gilda Radner","Gilda Radner","Gilda Radner","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_120663","goodreads_37747","0.5",,"faith","faith","faith","faith","1.0","1.0","Len Deighton","Jennifer Haigh","Len Deighton","Jennifer Haigh","0.2857142857142857","0.0"
"LinearCombinationMatchingRule","recommendation_74779","goodreads_10192","0.5",,"sacrifice","sacrifice","sacrifice","sacrifice","1.0","1.0","John Farris","Ascentii Phoenix","John Farris","Ascentii Phoenix","0.1875","0.0"
"LinearCombinationMatchingRule","recommendation_175492","goodreads_14673","0.5",,"remember me","remember me","remember me","remember me","1.0","1.0","Fay Weldon","Mary Higgins Clark","Fay Weldon","Mary Higgins Clark","0.2222222222222222","0.0"
"LinearCombinationMatchingRule","recommendation_110004","goodreads_2719","0.5",,"fallout","fallout","fallout","fallout","1.0","1.0","Jim Ottaviani","Ellen Hopkins","Jim Ottaviani","Ellen Hopkins","0.07692307692307687","0.0"
"LinearCombinationMatchingRule","recommendation_254061","goodreads_44731","0.5",,"selected poems","selected poems","selected poems","selected poems","1.0","1.0","Simon Armitage","Emily Dickinson","Simon Armitage","Emily Dickinson","0.1333333333333333","0.0"
"LinearCombinationMatchingRule","recommendation_226454","goodreads_51338","1.0",,"the revolt of the masses","the revolt of the masses","the revolt of the masses","the revolt of the masses","1.0","1.0","Jose Ortega Y Gasset","José Ortega y Gasset","Jose Ortega Y Gasset","José Ortega y Gasset","0.95","1.0"
"LinearCombinationMatchingRule","recommendation_46572","goodreads_20099","0.5",,"the outsider","the outsider","the outsider","the outsider","1.0","1.0","Howard Fast","Richard Wright","Howard Fast","Richard Wright","0.3571428571428571","0.0"
"LinearCombinationMatchingRule","recommendation_155214","goodreads_5576","1.0",,"aunt julia and the scriptwriter","aunt julia and the scriptwriter","aunt julia and the scriptwriter","aunt julia and the scriptwriter","1.0","1.0","Mario Vargas Llosa","Mario Vargas Llosa","Mario Vargas Llosa","Mario Vargas Llosa","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_3540","goodreads_39302","1.0",,"the angry clam","the angry clam","the angry clam","the angry clam","1.0","1.0","Erik Quisling","Erik Quisling","Erik Quisling","Erik Quisling","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_189639","goodreads_36294","0.5",,"blood ties","blood ties","blood ties","blood ties","1.0","1.0","Jennifer Lash","Garth Nix","Jennifer Lash","Garth Nix","0.07692307692307687","0.0"
"LinearCombinationMatchingRule","recommendation_112508","goodreads_1287","1.0",,"insomnia","insomnia","insomnia","insomnia","1.0","1.0","Stephen King","Stephen King","Stephen King","Stephen King","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_3417","goodreads_28256","1.0",,"cat's cradle","cat's cradle","cat's cradle","cat's cradle","1.0","1.0","Kurt Vonnegut","Kurt Vonnegut","Kurt Vonnegut","Kurt Vonnegut","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_211792","goodreads_33805","1.0",,"a dangerous woman","a dangerous woman","a dangerous woman","a dangerous woman","1.0","1.0","Mary McGarry Morris","Mary McGarry Morris","Mary McGarry Morris","Mary McGarry Morris","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_220402","goodreads_25422","0.5",,"second chances","second chances","second chances","second chances","1.0","1.0","Alice Adams","D.L. Roan","Alice Adams","D.L. Roan","0.18181818181818177","0.0"
"LinearCombinationMatchingRule","recommendation_37537","goodreads_45923","1.0",,"charms for the easy life","charms for the easy life","charms for the easy life","charms for the easy life","1.0","1.0","Kaye Gibbons","Kaye Gibbons","Kaye Gibbons","Kaye Gibbons","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_132644","goodreads_30906","0.5",,"secrets","secrets","secrets","secrets","1.0","1.0","Katharine Marlowe","Liz Schulte","Katharine Marlowe","Liz Schulte","0.17647058823529416","0.0"
"LinearCombinationMatchingRule","recommendation_268074","goodreads_1167","1.0",,"midwives","midwives","midwives","midwives","1.0","1.0","Chris Bohjalian","Chris Bohjalian","Chris Bohjalian","Chris Bohjalian","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_171635","goodreads_31748","0.5",,"embers","embers","embers","embers","1.0","1.0","Antoinette Stockenberg","Laura Bickle","Antoinette Stockenberg","Laura Bickle","0.18181818181818177","0.0"
"LinearCombinationMatchingRule","recommendation_100892","goodreads_32288","1.0",,"a christmas carol","a christmas carol","a christmas carol","a christmas carol","1.0","1.0","Charles Dickens","Charles Dickens","Charles Dickens","Charles Dickens","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_251884","goodreads_7109","1.0",,"strangers on a train","strangers on a train","strangers on a train","strangers on a train","1.0","1.0","Patricia Highsmith","Patricia Highsmith","Patricia Highsmith","Patricia Highsmith","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_53189","goodreads_49777","1.0",,"great expectations","great expectations","great expectations","great expectations","1.0","1.0","Charles Dickens","Charles Dickens","Charles Dickens","Charles Dickens","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_19988","goodreads_13327","1.0",,"johnny angel","johnny angel","johnny angel","johnny angel","1.0","1.0","DANIELLE STEEL","Danielle Steel","DANIELLE STEEL","Danielle Steel","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_74507","goodreads_43157","1.0",,"middlemarch","middlemarch","middlemarch","middlemarch","1.0","1.0","George Eliot","George Eliot","George Eliot","George Eliot","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_22966","goodreads_12","1.0",,"the hitchhiker's guide to the galaxy","the hitchhiker's guide to the galaxy","the hitchhiker's guide to the galaxy","the hitchhiker's guide to the galaxy","1.0","1.0","Douglas Adams","Douglas Adams","Douglas Adams","Douglas Adams","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_98635","goodreads_35190","0.5",,"lucky stars","lucky stars","lucky stars","lucky stars","1.0","1.0","Jane Heller","Kristen Ashley","Jane Heller","Kristen Ashley","0.2857142857142857","0.0"
"LinearCombinationMatchingRule","recommendation_150571","goodreads_8823","1.0",,"the halloween tree","the halloween tree","the halloween tree","the halloween tree","1.0","1.0","Ray Bradbury","Ray Bradbury","Ray Bradbury","Ray Bradbury","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_228855","goodreads_28405","0.5",,"the innocents","the innocents","the innocents","the innocents","1.0","1.0","Carolyn Slaughter","Francesca Segal","Carolyn Slaughter","Francesca Segal","0.17647058823529416","0.0"
"LinearCombinationMatchingRule","recommendation_22767","goodreads_22675","1.0",,"the engines of god","the engines of god","the engines of god","the engines of god","1.0","1.0","Jack McDevitt","Jack McDevitt","Jack McDevitt","Jack McDevitt","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_252643","goodreads_52309","0.5",,"memoirs","memoirs","memoirs","memoirs","1.0","1.0","DAVID ROCKEFELLER","Pierre Trudeau","DAVID ROCKEFELLER","Pierre Trudeau","0.11764705882352944","0.0"
"LinearCombinationMatchingRule","recommendation_229202","goodreads_24292","1.0",,"king lear","king lear","king lear","king lear","1.0","1.0","William Shakespeare","William Shakespeare","William Shakespeare","William Shakespeare","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_214782","goodreads_30115","1.0",,"quick service","quick service","quick service","quick service","1.0","1.0","P.G. Wodehouse","P.G. Wodehouse","P.G. Wodehouse","P.G. Wodehouse","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_81884","goodreads_12566","0.5",,"titan","titan","titan","titan","1.0","1.0","Stephen Baxter","John Varley","Stephen Baxter","John Varley","0.3571428571428571","0.0"
"LinearCombinationMatchingRule","recommendation_64142","goodreads_39477","1.0",,"banker to the poor: micro-lending and the battle against world poverty","banker to the poor: micro-lending and the battle against world poverty","banker to the poor: micro-lending and the battle against world poverty","banker to the poor: micro-lending and the battle against world poverty","1.0","1.0","Muhammad Yunus","Muhammad Yunus","Muhammad Yunus","Muhammad Yunus","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_1737","goodreads_32677","1.0",,"vineland","vineland","vineland","vineland","1.0","1.0","Thomas Pynchon","Thomas Pynchon","Thomas Pynchon","Thomas Pynchon","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_62812","goodreads_33701","1.0",,"neverwhere","neverwhere","neverwhere","neverwhere","1.0","1.0","Neil Gaiman","Neil Gaiman","Neil Gaiman","Neil Gaiman","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_142448","goodreads_41233","0.5",,"inheritance","inheritance","inheritance","inheritance","1.0","1.0","Louisa May Alcott","Lan Samantha Chang","Louisa May Alcott","Lan Samantha Chang","0.33333333333333337","0.0"
"LinearCombinationMatchingRule","recommendation_2652","goodreads_307","1.0",,"the time machine","the time machine","the time machine","the time machine","1.0","1.0","H. G. Wells","H.G. Wells","H. G. Wells","H.G. Wells","0.9090909090909091","1.0"
"LinearCombinationMatchingRule","recommendation_141304","goodreads_6664","0.5",,"shattered glass","shattered glass","shattered glass","shattered glass","1.0","1.0","Elaine Bergstrom","Dani Alexander","Elaine Bergstrom","Dani Alexander","0.1875","0.0"
"LinearCombinationMatchingRule","recommendation_107100","goodreads_26912","0.5",,"the devil rides out","the devil rides out","the devil rides out","the devil rides out","1.0","1.0","Denis Wheatley","Paul O'Grady","Denis Wheatley","Paul O'Grady","0.1428571428571429","0.0"
"LinearCombinationMatchingRule","recommendation_13721","goodreads_32731","1.0",,"legends of the fall","legends of the fall","legends of the fall","legends of the fall","1.0","1.0","Jim Harrison","Jim Harrison","Jim Harrison","Jim Harrison","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_171287","goodreads_9776","1.0",,"double fudge","double fudge","double fudge","double fudge","1.0","1.0","Judy Blume","Judy Blume","Judy Blume","Judy Blume","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_715","goodreads_4531","1.0",,"the time traveler's wife","the time traveler's wife","the time traveler's wife","the time traveler's wife","1.0","1.0","Audrey Niffenegger","Audrey Niffenegger","Audrey Niffenegger","Audrey Niffenegger","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_257809","goodreads_43785","0.5",,"violet","violet","violet","violet","1.0","1.0","Lauren Royal","Pet Torres","Lauren Royal","Pet Torres","0.16666666666666663","0.0"
"LinearCombinationMatchingRule","recommendation_42531","goodreads_37147","1.0",,"vile bodies","vile bodies","vile bodies","vile bodies","1.0","1.0","Evelyn Waugh","Evelyn Waugh","Evelyn Waugh","Evelyn Waugh","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_238322","goodreads_12346","1.0",,"expanded universe","expanded universe","expanded universe","expanded universe","1.0","1.0","Robert A. Heinlein","Robert A. Heinlein","Robert A. Heinlein","Robert A. Heinlein","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_60246","goodreads_26340","1.0",,"harry potter and the chamber of secrets","harry potter and the chamber of secrets","harry potter and the chamber of secrets","harry potter and the chamber of secrets","1.0","1.0","J. K. Rowling","J.K. Rowling","J. K. Rowling","J.K. Rowling","0.9230769230769231","1.0"
"LinearCombinationMatchingRule","recommendation_229139","goodreads_46677","1.0",,"fade","fade","fade","fade","1.0","1.0","Robert Cormier","Robert Cormier","Robert Cormier","Robert Cormier","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_166513","goodreads_23637","1.0",,"california angel","california angel","california angel","california angel","1.0","1.0","Nancy Taylor Rosenberg","Nancy Taylor Rosenberg","Nancy Taylor Rosenberg","Nancy Taylor Rosenberg","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_27395","goodreads_45895","1.0",,"polar star","polar star","polar star","polar star","1.0","1.0","MARTIN CRUZ SMITH","Martin Cruz Smith","MARTIN CRUZ SMITH","Martin Cruz Smith","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_101905","goodreads_41822","0.5",,"homecoming","homecoming","homecoming","homecoming","1.0","1.0","N. Lofts","Kass Morgan","N. Lofts","Kass Morgan","0.18181818181818177","0.0"
"LinearCombinationMatchingRule","recommendation_126289","goodreads_11482","0.5",,"crossing the line","crossing the line","crossing the line","crossing the line","1.0","1.0","CLINTON MCKINZIE","Sherri Hayes","CLINTON MCKINZIE","Sherri Hayes","0.0625","0.0"
"LinearCombinationMatchingRule","recommendation_261183","goodreads_40013","0.5",,"killjoy","killjoy","killjoy","killjoy","1.0","1.0","Elizabeth Forrest","Julie Garwood","Elizabeth Forrest","Julie Garwood","0.23529411764705888","0.0"
"LinearCombinationMatchingRule","recommendation_44553","goodreads_692","0.5",,"inferno","inferno","inferno","inferno","1.0","1.0","Dante Alighieri","Dan Brown","Dante Alighieri","Dan Brown","0.2666666666666667","0.0"
"LinearCombinationMatchingRule","recommendation_91327","goodreads_44907","1.0",,"if nobody speaks of remarkable things","if nobody speaks of remarkable things","if nobody speaks of remarkable things","if nobody speaks of remarkable things","1.0","1.0","Jon McGregor","Jon McGregor","Jon McGregor","Jon McGregor","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_64157","goodreads_7160","0.5",,"a place to call home","a place to call home","a place to call home","a place to call home","1.0","1.0","Jackie French Koller","Deborah Smith","Jackie French Koller","Deborah Smith","0.19999999999999996","0.0"
"LinearCombinationMatchingRule","recommendation_54176","goodreads_46934","0.5",,"betrayal","betrayal","betrayal","betrayal","1.0","1.0","Evelyn Rogers","Karin Alvtegen","Evelyn Rogers","Karin Alvtegen","0.1428571428571429","0.0"
"LinearCombinationMatchingRule","recommendation_72818","goodreads_45135","1.0",,"crazy","crazy","crazy","crazy","1.0","1.0","Benjamin Lebert","Benjamin Lebert","Benjamin Lebert","Benjamin Lebert","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_243469","goodreads_28795","0.5",,"silent night","silent night","silent night","silent night","1.0","1.0","Sandy Turner","Thomas Kinkade","Sandy Turner","Thomas Kinkade","0.0714285714285714","0.0"
"LinearCombinationMatchingRule","recommendation_79020","goodreads_161","1.0",,"the ultimate hitchhiker's guide to the galaxy","the ultimate hitchhiker's guide to the galaxy","the ultimate hitchhiker's guide to the galaxy","the ultimate hitchhiker's guide to the galaxy","1.0","1.0","DOUGLAS ADAMS","Douglas Adams","DOUGLAS ADAMS","Douglas Adams","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_54167","goodreads_30363","1.0",,"firefox","firefox","firefox","firefox","1.0","1.0","Craig Thomas","Craig Thomas","Craig Thomas","Craig Thomas","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_138764","goodreads_52065","1.0",,"dragonsong","dragonsong","dragonsong","dragonsong","1.0","1.0","Anne McCaffrey","Anne McCaffrey","Anne McCaffrey","Anne McCaffrey","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_80396","goodreads_53183","1.0",,"menagerie manor","menagerie manor","menagerie manor","menagerie manor","1.0","1.0","Gerald Malcolm Durrell","Gerald Durrell","Gerald Malcolm Durrell","Gerald Durrell","0.6363636363636364","1.0"
"LinearCombinationMatchingRule","recommendation_82178","goodreads_51076","0.5",,"desire","desire","desire","desire","1.0","1.0","Georgia Hampton","Kailin Gow","Georgia Hampton","Kailin Gow","0.19999999999999996","0.0"
"LinearCombinationMatchingRule","recommendation_109706","goodreads_26257","1.0",,"ulysses","ulysses","ulysses","ulysses","1.0","1.0","James Joyce","James Joyce","James Joyce","James Joyce","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_140996","goodreads_29801","1.0",,"surely you're joking, mr. feynman!: adventures of a curious character","surely you're joking, mr. feynman!: adventures of a curious character","surely you're joking, mr. feynman!: adventures of a curious character","surely you're joking, mr. feynman!: adventures of a curious character","1.0","1.0","Richard P. Feynman","Richard Feynman","Richard P. Feynman","Richard Feynman","0.8333333333333334","1.0"
"LinearCombinationMatchingRule","recommendation_131517","goodreads_53225","1.0",,"the punch: one night, two lives, and the fight that changed basketball forever","the punch: one night, two lives, and the fight that changed basketball forever","the punch: one night, two lives, and the fight that changed basketball forever","the punch: one night, two lives, and the fight that changed basketball forever","1.0","1.0","John Feinstein","John Feinstein","John Feinstein","John Feinstein","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_83746","goodreads_11832","0.5",,"the sacrifice","the sacrifice","the sacrifice","the sacrifice","1.0","1.0","Robert Whitlow","Charlie Higson","Robert Whitlow","Charlie Higson","0.2142857142857143","0.0"
"LinearCombinationMatchingRule","recommendation_26482","goodreads_48956","0.5",,"treasure island","treasure island","treasure island","treasure island","1.0","1.0","Robert Louis Stevenson","Deidre S. Laiken","Robert Louis Stevenson","Deidre S. Laiken","0.2272727272727273","0.0"
"LinearCombinationMatchingRule","recommendation_71119","goodreads_2399","1.0",,"the glass lake","the glass lake","the glass lake","the glass lake","1.0","1.0","Maeve Binchy","Maeve Binchy","Maeve Binchy","Maeve Binchy","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_32524","goodreads_11484","0.5",,"edge of eternity","edge of eternity","edge of eternity","edge of eternity","1.0","1.0","RANDY ALCORN","Ken Follett","RANDY ALCORN","Ken Follett","0.16666666666666663","0.0"
"LinearCombinationMatchingRule","recommendation_2875","goodreads_27067","0.5",,"the witch's daughter","the witch's daughter","the witch's daughter","the witch's daughter","1.0","1.0","R.A. Salvatore","Paula Brackston","R.A. Salvatore","Paula Brackston","0.19999999999999996","0.0"
"LinearCombinationMatchingRule","recommendation_51059","goodreads_16340","0.5",,"changeling","changeling","changeling","changeling","1.0","1.0","Kenneth McKenney","Delia Sherman","Kenneth McKenney","Delia Sherman","0.1875","0.0"
"LinearCombinationMatchingRule","recommendation_55226","goodreads_30094","1.0",,"the call of the wild","the call of the wild","the call of the wild","the call of the wild","1.0","1.0","Jack London","Jack London","Jack London","Jack London","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_2436","goodreads_15738","1.0",,"the key to rebecca","the key to rebecca","the key to rebecca","the key to rebecca","1.0","1.0","Ken Follett","Ken Follett","Ken Follett","Ken Follett","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_164720","goodreads_34529","1.0",,"momo","momo","momo","momo","1.0","1.0","Michael Ende","Michael Ende","Michael Ende","Michael Ende","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_38089","goodreads_14720","0.5",,"poison","poison","poison","poison","1.0","1.0","Kathryn Harrison","Sara Poole","Kathryn Harrison","Sara Poole","0.1875","0.0"
"LinearCombinationMatchingRule","recommendation_25675","goodreads_25859","1.0",,"sense and sensibility","sense and sensibility","sense and sensibility","sense and sensibility","1.0","1.0","Jane Austen","Jane Austen","Jane Austen","Jane Austen","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_4974","goodreads_7898","1.0",,"blue angel","blue angel","blue angel","blue angel","1.0","1.0","Francine Prose","Francine Prose","Francine Prose","Francine Prose","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_130248","goodreads_42497","1.0",,"tristessa","tristessa","tristessa","tristessa","1.0","1.0","Jack Kerouac","Jack Kerouac","Jack Kerouac","Jack Kerouac","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_97732","goodreads_50165","1.0",,"second chance","second chance","second chance","second chance","1.0","1.0","DANIELLE STEEL","Danielle Steel","DANIELLE STEEL","Danielle Steel","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_42330","goodreads_23969","1.0","1","white horses","white horses","white horses","white horses","1.0","1.0","Alice Hoffman","Alice Hoffman","Alice Hoffman","Alice Hoffman","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_187407","goodreads_25815","0.5",,"jinx","jinx","jinx","jinx","1.0","1.0","Margaret Wild","Sage Blackwood","Margaret Wild","Sage Blackwood","0.2142857142857143","0.0"
"LinearCombinationMatchingRule","recommendation_37413","goodreads_46177","0.5",,"ruthless game","ruthless game","ruthless game","ruthless game","1.0","1.0","Danielle Girard","Christine Feehan","Danielle Girard","Christine Feehan","0.1875","0.0"
"LinearCombinationMatchingRule","recommendation_82533","goodreads_54169","1.0",,"after the ecstasy, the laundry: how the heart grows wise on the spiritual path","after the ecstasy, the laundry: how the heart grows wise on the spiritual path","after the ecstasy, the laundry: how the heart grows wise on the spiritual path","after the ecstasy, the laundry: how the heart grows wise on the spiritual path","1.0","1.0","Jack Kornfield","Jack Kornfield","Jack Kornfield","Jack Kornfield","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_110645","goodreads_44074","1.0",,"doctor no","doctor no","doctor no","doctor no","1.0","1.0","Ian Fleming","Ian Fleming","Ian Fleming","Ian Fleming","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_238056","goodreads_29336","0.5",,"inferno","inferno","inferno","inferno","1.0","1.0","Larry Niven","Dan Brown","Larry Niven","Dan Brown","0.2727272727272727","0.0"
"LinearCombinationMatchingRule","recommendation_122211","goodreads_6746","0.5",,"legacy","legacy","legacy","legacy","1.0","1.0","Jayne Ann Krentz","Susan  Kay","Jayne Ann Krentz","Susan  Kay","0.25","0.0"
"LinearCombinationMatchingRule","recommendation_160155","goodreads_42165","1.0",,"quarantine","quarantine","quarantine","quarantine","1.0","1.0","Jim Crace","Jim Crace","Jim Crace","Jim Crace","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_75599","goodreads_31458","1.0",,"the heart is a lonely hunter","the heart is a lonely hunter","the heart is a lonely hunter","the heart is a lonely hunter","1.0","1.0","Carson McCullers","Carson McCullers","Carson McCullers","Carson McCullers","1.0","1.0"
"LinearCombinationMatchingRule","recommendation_118259","goodreads_51738","0.5",,"wide open","wide open","wide open","wide open","1.0","1.0","Linda McCartney","Shelly Crane","Linda McCartney","Shelly Crane","0.2666666666666667","0.0"
"LinearCombinationMatchingRule","recommendation_97129","goodreads_5475","0.5",,"the missing piece","the missing piece","the missing piece","the missing piece","1.0","1.0","Antoine Bello","Shel Silverstein","Antoine Bello","Shel Silverstein","0.125","0.0"
"LinearCombinationMatchingRule","recommendation_228290","goodreads_51204","1.0",,"a taste of power: a black woman's story","a taste of power: a black woman's story","a taste of power: a black woman's story","a taste of power: a black woman's story","1.0","1.0","Elaine Brown","Elaine  Brown","Elaine Brown","Elaine  Brown","0.9230769230769231","1.0"
"LinearCombinationMatchingRule","recommendation_13667","goodreads_40888","1.0",,"robinson crusoe","robinson crusoe","robinson crusoe","robinson crusoe","1.0","1.0","Daniel Defoe","Daniel Defoe","Daniel Defoe","Daniel Defoe","1.0","1.0"
